NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC,longitude,latitude
Henima,village,,,,,93.51140000000,25.31520000000
Arlangbati,village,,,,,93.54170000000,26.40200000000
Bara Daldali,village,,,,,93.59470000000,25.82670000000
BOKAKHAT,locality,,,,,93.60352000000,26.64047000000
60 CAMP,locality,,,,,93.62412000000,27.64847000000
Itanagar,city,,,,,93.62919780000,27.10197880000
Gohpur,village,,,,,93.63220890000,26.88782560000
Tamenglong,village,,,,,93.63260000000,25.10580000000
DAEM,locality,,,,,93.66257000000,27.60452000000
NEELAM,locality,,,,,93.67630000000,27.57843000000
DEED,locality,,,,,93.67905000000,27.59354000000
Khebuching,village,,,,,93.68190000000,24.98250000000
NUPANIA,locality,,,,,93.68592000000,27.55646000000
PACHESE CAMP,locality,,,,,93.68866000000,27.55646000000
Naharlagun,town,,,,,93.69230980000,27.10322290000
Tamma,village,,,,,93.72660000000,25.17210000000
Numaligarh,village,,,,,93.72723760000,26.63287120000
Dimapur,town,,,,,93.72755670000,25.91370750000
Saiyang,village,,,,,93.73590000000,25.54720000000
JN TO MENZIO,locality,,,,,93.74222000000,27.42050000000
Hapolio,village,,,,,93.74327900000,27.40454180000
NIRJULI,locality,,,,,93.74634000000,27.12936000000
THALO,locality,,,,,93.75046000000,27.53174000000
YAZALI,locality,,,,,93.75772250000,27.39029000000
YACHULI,locality,,,,,93.76934120000,27.46841520000
JUNCTION,locality,,,,,93.77381000000,27.50977000000
PITA PHUL,locality,,,,,93.78088170000,27.35624210000
ZORUM,locality,,,,,93.78286760000,27.51055990000
POOSA (NEEPCO),locality,,,,,93.79166000000,27.33673000000
HIGH POINT,locality,,,,,93.79441000000,27.53174000000
RIM PASS S,locality,,,,,93.79715000000,27.53174000000
RANGANADI DAM,locality,,,,,93.81501000000,27.34222000000
Ziro,village,,,,,93.81535500000,27.53866800000
SHORTCUT JUNCTION,locality,,,,,93.82187000000,27.33536000000
Songdop,village,,,,,93.82440000000,25.38690000000
BANDERDEWA,locality,,,,,93.82462000000,27.10877000000
FISH FARM,locality,,,,,93.83011000000,27.51663000000
